year,country,n_researchers_padded,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2004,MW,618,31,29,2,0.05016181229773463,0.04692556634304207,0.003236245954692557
2005,MW,688,36,38,-2,0.05232558139534884,0.055232558139534885,-0.0029069767441860465
2006,MW,726,47,34,13,0.06473829201101929,0.046831955922865015,0.01790633608815427
2007,MW,815,47,54,-7,0.05766871165644172,0.06625766871165645,-0.008588957055214725
2008,MW,894,55,50,5,0.06152125279642058,0.05592841163310962,0.005592841163310962
2009,MW,1015,66,71,-5,0.06502463054187192,0.06995073891625615,-0.0049261083743842365
2010,MW,1109,52,66,-14,0.046889089269612265,0.059513074842200184,-0.012623985572587917
2011,MW,1235,64,62,2,0.051821862348178135,0.05020242914979757,0.0016194331983805667
2012,MW,1393,79,78,1,0.05671213208901651,0.05599425699928212,0.0007178750897343862
2013,MW,1532,102,71,31,0.06657963446475196,0.04634464751958225,0.020234986945169713
2014,MW,1641,86,118,-32,0.05240706886045095,0.07190737355271176,-0.019500304692260818
2015,MW,1820,123,111,12,0.06758241758241758,0.06098901098901099,0.006593406593406593
2016,MW,1960,122,130,-8,0.06224489795918367,0.0663265306122449,-0.004081632653061225
2017,MW,2090,155,138,17,0.07416267942583732,0.0660287081339713,0.008133971291866028
2018,MW,2355,132,149,-17,0.05605095541401274,0.06326963906581741,-0.007218683651804671
2019,MW,2624,154,170,-16,0.0586890243902439,0.06478658536585366,-0.006097560975609756
2020,MW,3073,202,211,-9,0.06573381060852587,0.0686625447445493,-0.00292873413602343
2021,MW,3547,226,195,31,0.0637158161826896,0.05497603608683394,0.008739780095855652
2022,MW,4181,179,166,13,0.04281272422865343,0.03970342023439369,0.0031093039942597465
2023,MW,4690,201,249,-48,0.04285714285714286,0.05309168443496802,-0.01023454157782516
2024,MW,3891,287,264,23,0.07375995887946543,0.06784888203546646,0.005911076843998972
2025,MW,2629,381,301,80,0.14492202358311146,0.11449220235831115,0.030429821224800303
1998,MX,27203,0,0,0,0.0,0.0,0.0
1999,MX,29003,534,565,-31,0.01841188842533531,0.019480743371375377,-0.0010688549460400648
2000,MX,32531,905,827,78,0.02781961821032246,0.025421905259598535,0.0023977129507239247
2001,MX,35935,1058,1001,57,0.029442048142479478,0.02785585084179769,0.0015861973006817865
2002,MX,40646,1287,1247,40,0.03166363233774541,0.030679525660581606,0.0009841066771638046
2003,MX,44742,1456,1456,0,0.032542130436726116,0.032542130436726116,0.0
2004,MX,49844,1650,1585,65,0.03310328224059064,0.031799213546264346,0.001304068694326298
2005,MX,54231,1844,1866,-22,0.03400269218712545,0.03440836421972673,-0.00040567203260127974
2006,MX,59160,2204,2142,62,0.03725490196078431,0.03620689655172414,0.0010480054090601758
2007,MX,65492,2363,2180,183,0.036080742686129604,0.03328650827581995,0.002794234410309656
2008,MX,71132,2581,2624,-43,0.03628465388292189,0.03688916380813136,-0.0006045099252094697
2009,MX,79224,2893,3002,-109,0.03651671210744219,0.037892557810764414,-0.0013758457033222257
2010,MX,86305,2994,3134,-140,0.034690921731070044,0.036313075719830834,-0.0016221539887607901
2011,MX,94811,3419,3336,83,0.036061216525508644,0.03518579067829682,0.0008754258472118214
2012,MX,103050,3781,3760,21,0.036690926734594856,0.03648714216399806,0.00020378457059679766
