year,country,n_researchers,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2024,MT,1595,219,182,37,0.1373040752351097,0.11410658307210031,0.023197492163009405
2025,MT,1621,260,235,25,0.16039481801357186,0.14497223935842074,0.015422578655151141
1998,MU,37,0,0,0,0.0,0.0,0.0
1999,MU,73,6,4,2,0.0821917808219178,0.0547945205479452,0.0273972602739726
2000,MU,84,5,3,2,0.05952380952380952,0.03571428571428571,0.023809523809523808
2001,MU,84,9,3,6,0.10714285714285714,0.03571428571428571,0.07142857142857142
2002,MU,96,8,13,-5,0.08333333333333333,0.13541666666666666,-0.052083333333333336
2003,MU,88,6,7,-1,0.06818181818181818,0.07954545454545454,-0.011363636363636364
2004,MU,115,9,5,4,0.0782608695652174,0.043478260869565216,0.034782608695652174
2005,MU,130,4,6,-2,0.03076923076923077,0.046153846153846156,-0.015384615384615385
2006,MU,129,7,13,-6,0.05426356589147287,0.10077519379844961,-0.046511627906976744
2007,MU,123,14,12,2,0.11382113821138211,0.0975609756097561,0.016260162601626018
2008,MU,185,19,14,5,0.10270270270270271,0.07567567567567568,0.02702702702702703
2009,MU,187,15,21,-6,0.08021390374331551,0.11229946524064172,-0.03208556149732621
2010,MU,218,19,15,4,0.0871559633027523,0.06880733944954129,0.01834862385321101
2011,MU,240,19,27,-8,0.07916666666666666,0.1125,-0.03333333333333333
2012,MU,245,16,23,-7,0.0653061224489796,0.09387755102040816,-0.02857142857142857
2013,MU,362,22,26,-4,0.06077348066298342,0.0718232044198895,-0.011049723756906077
2014,MU,322,27,20,7,0.08385093167701864,0.062111801242236024,0.021739130434782608
2015,MU,345,27,20,7,0.0782608695652174,0.057971014492753624,0.020289855072463767
2016,MU,404,34,33,1,0.08415841584158416,0.08168316831683169,0.0024752475247524753
2017,MU,489,43,31,12,0.08793456032719836,0.06339468302658487,0.024539877300613498
2018,MU,439,35,52,-17,0.07972665148063782,0.11845102505694761,-0.0387243735763098
2019,MU,613,60,40,20,0.09787928221859707,0.06525285481239804,0.03262642740619902
2020,MU,507,22,52,-30,0.04339250493096647,0.10256410256410256,-0.05917159763313609
2021,MU,565,39,44,-5,0.06902654867256637,0.07787610619469026,-0.008849557522123894
2022,MU,663,55,40,15,0.08295625942684766,0.06033182503770739,0.02262443438914027
2023,MU,656,53,64,-11,0.08079268292682927,0.0975609756097561,-0.01676829268292683
2024,MU,671,54,63,-9,0.08047690014903129,0.09388971684053651,-0.013412816691505217
2025,MU,623,94,78,16,0.1508828250401284,0.12520064205457465,0.025682182985553772
1998,MV,9,0,0,0,0.0,0.0,0.0
1999,MV,7,1,0,1,0.14285714285714285,0.0,0.14285714285714285
2000,MV,12,3,0,3,0.25,0.0,0.25
2001,MV,26,6,2,4,0.23076923076923078,0.07692307692307693,0.15384615384615385
2002,MV,6,0,8,-8,0.0,1.3333333333333333,-1.3333333333333333
2003,MV,67,26,5,21,0.3880597014925373,0.07462686567164178,0.31343283582089554
2004,MV,68,44,15,29,0.6470588235294118,0.22058823529411764,0.4264705882352941
2005,MV,86,51,31,20,0.5930232558139535,0.36046511627906974,0.23255813953488372
2006,MV,105,66,41,25,0.6285714285714286,0.3904761904761905,0.23809523809523808
2007,MV,94,51,45,6,0.5425531914893617,0.4787234042553192,0.06382978723404255
2008,MV,129,66,45,21,0.5116279069767442,0.3488372093023256,0.16279069767441862
2009,MV,118,57,63,-6,0.4830508474576271,0.5338983050847458,-0.05084745762711865
2010,MV,87,40,62,-22,0.45977011494252873,0.7126436781609196,-0.25287356321839083
2011,MV,108,62,47,15,0.5740740740740741,0.4351851851851852,0.1388888888888889
2012,MV,124,67,57,10,0.5403225806451613,0.4596774193548387,0.08064516129032258
2013,MV,79,28,107,-79,0.35443037974683544,1.3544303797468353,-1.0
2014,MV,73,29,74,-45,0.3972602739726027,1.0136986301369864,-0.6164383561643836
2015,MV,80,27,44,-17,0.3375,0.55,-0.2125
2016,MV,81,35,42,-7,0.43209876543209874,0.5185185185185185,-0.08641975308641975
2017,MV,105,35,41,-6,0.3333333333333333,0.3904761904761905,-0.05714285714285714
2018,MV,96,42,49,-7,0.4375,0.5104166666666666,-0.07291666666666667
2019,MV,102,38,57,-19,0.37254901960784315,0.5588235294117647,-0.18627450980392157
2020,MV,198,79,45,34,0.398989898989899,0.22727272727272727,0.1717171717171717
2021,MV,234,55,55,0,0.23504273504273504,0.23504273504273504,0.0
2022,MV,240,63,57,6,0.2625,0.2375,0.025
2023,MV,246,94,66,28,0.3821138211382114,0.2682926829268293,0.11382113821138211
2024,MV,347,91,82,9,0.2622478386167147,0.23631123919308358,0.025936599423631124
2025,MV,506,163,92,71,0.3221343873517787,0.18181818181818182,0.14031620553359683
1998,MW,103,0,0,0,0.0,0.0,0.0
1999,MW,92,14,19,-5,0.15217391304347827,0.20652173913043478,-0.05434782608695652
2000,MW,162,17,13,4,0.10493827160493827,0.08024691358024691,0.024691358024691357
2001,MW,233,30,23,7,0.12875536480686695,0.09871244635193133,0.030042918454935622
2002,MW,239,20,33,-13,0.08368200836820083,0.13807531380753138,-0.05439330543933055
2003,MW,244,35,29,6,0.14344262295081966,0.11885245901639344,0.02459016393442623
2004,MW,253,31,29,2,0.1225296442687747,0.11462450592885376,0.007905138339920948
2005,MW,283,36,38,-2,0.127208480565371,0.13427561837455831,-0.007067137809187279
2006,MW,281,47,34,13,0.16725978647686832,0.12099644128113879,0.046263345195729534
2007,MW,328,47,54,-7,0.14329268292682926,0.16463414634146342,-0.021341463414634148
2008,MW,352,55,50,5,0.15625,0.14204545454545456,0.014204545454545454
2009,MW,407,66,71,-5,0.16216216216216217,0.17444717444717445,-0.012285012285012284
2010,MW,427,52,66,-14,0.12177985948477751,0.15456674473067916,-0.03278688524590164
2011,MW,515,64,62,2,0.12427184466019417,0.1203883495145631,0.003883495145631068
2012,MW,575,79,78,1,0.1373913043478261,0.1356521739130435,0.0017391304347826088
2013,MW,626,102,71,31,0.16293929712460065,0.1134185303514377,0.04952076677316294
2014,MW,759,86,118,-32,0.11330698287220026,0.155467720685112,-0.04216073781291173
2015,MW,784,123,111,12,0.1568877551020408,0.14158163265306123,0.015306122448979591
2016,MW,825,122,130,-8,0.1478787878787879,0.15757575757575756,-0.009696969696969697
2017,MW,1024,155,138,17,0.1513671875,0.134765625,0.0166015625
2018,MW,1039,132,149,-17,0.12704523580365737,0.14340712223291627,-0.016361886429258902
2019,MW,1052,154,170,-16,0.14638783269961977,0.16159695817490494,-0.015209125475285171
2020,MW,1366,202,211,-9,0.1478770131771596,0.15446559297218154,-0.006588579795021962
2021,MW,1542,226,195,31,0.14656290531776914,0.1264591439688716,0.020103761348897537
2022,MW,1767,179,166,13,0.10130164119977363,0.09394453876627051,0.007357102433503113
2023,MW,2008,201,249,-48,0.10009960159362549,0.12400398406374502,-0.02390438247011952
2024,MW,2401,287,264,23,0.119533527696793,0.10995418575593503,0.009579341940857976
2025,MW,2629,381,301,80,0.14492202358311146,0.11449220235831115,0.030429821224800303
1998,MX,11182,0,0,0,0.0,0.0,0.0
1999,MX,11623,534,565,-31,0.04594338810978233,0.04861051363675471,-0.002667125526972382
2000,MX,13232,905,827,78,0.06839480048367594,0.0625,0.005894800483675937
2001,MX,13881,1058,1001,57,0.07621929255817304,0.07211296016137166,0.004106332396801383
2002,MX,16486,1287,1247,40,0.0780662380201383,0.0756399369161713,0.002426301103967002
2003,MX,18195,1456,1456,0,0.08002198406155538,0.08002198406155538,0.0
2004,MX,20537,1650,1585,65,0.08034279592929834,0.07717777669571992,0.0031650192335784194
2005,MX,22440,1844,1866,-22,0.08217468805704099,0.08315508021390375,-0.000980392156862745
2006,MX,25491,2204,2142,62,0.08646188850967008,0.08402965752618571,0.002432230983484367
2007,MX,27324,2363,2180,183,0.08648074952422778,0.07978334065290588,0.006697408871321915
2008,MX,29707,2581,2624,-43,0.08688187969165516,0.08832934998485205,-0.0014474702931968897
2009,MX,34346,2893,3002,-109,0.08423106038548885,0.0874046468293251,-0.0031735864438362546
2010,MX,35440,2994,3134,-140,0.08448081264108352,0.08843115124153499,-0.0039503386004514675
2011,MX,40953,3419,3336,83,0.08348594730544771,0.08145923375576881,0.0020267135496789004
2012,MX,44528,3781,3760,21,0.08491286381602588,0.08444125044915558,0.00047161336687028384
2013,MX,47556,4044,4200,-156,0.08503658844309867,0.08831693161746151,-0.0032803431743628564
2014,MX,53156,4325,4458,-133,0.0813642862517872,0.08386635563247799,-0.002502069380690797
2015,MX,58225,4768,4882,-114,0.08188922284242164,0.08384714469729497,-0.0019579218548733362
2016,MX,63245,5198,5101,97,0.08218831528184047,0.08065459720135978,0.0015337180804806704
2017,MX,67561,5492,5529,-37,0.0812895013395302,0.08183715457142435,-0.0005476532318941401
2018,MX,75422,5873,6048,-175,0.07786852642465063,0.08018880432764976,-0.002320277902999125
2019,MX,78427,5954,6256,-302,0.07591773241358206,0.07976844709092532,-0.003850714677343262
2020,MX,82390,6135,7087,-952,0.07446292025731278,0.08601772059715986,-0.01155480033984707
2021,MX,85839,6232,6997,-765,0.07260103216486678,0.08151306515686343,-0.008912032991996645
2022,MX,90287,5937,6722,-785,0.06575697497978668,0.07445147141891967,-0.008694496439132986
2023,MX,94693,8056,7960,96,0.08507492634091221,0.08406112384231147,0.0010138024986007413
2024,MX,99663,8572,8523,49,0.08600985320530187,0.0855181963216038,0.0004916568836980625
2025,MX,101882,9824,9136,688,0.09642527630003338,0.0896723660705522,0.006752910229481164
1998,MY,1671,0,0,0,0.0,0.0,0.0
1999,MY,1880,114,72,42,0.06063829787234042,0.03829787234042553,0.022340425531914895
2000,MY,2201,174,146,28,0.07905497501135847,0.06633348477964561,0.012721490231712857
2001,MY,2379,201,199,2,0.08448928121059268,0.08364859184531316,0.0008406893652795292
2002,MY,3439,321,231,90,0.09334108752544344,0.06717068915382379,0.026170398371619656
2003,MY,3644,315,315,0,0.08644346871569704,0.08644346871569704,0.0
2004,MY,4796,427,351,76,0.0890325271059216,0.073185988323603,0.0158465387823186
2005,MY,5367,499,417,82,0.09297559157816285,0.07769703745109,0.015278554127072852
2006,MY,6842,619,595,24,0.09047062262496346,0.08696287635194387,0.0035077462730195848
